experiment,n,algorithm,mean_time,std_time,relative_error
Exp3,464,Quick Sort 3-Way,0.0004097700002603233,8.178946963133036e-05,0.19959848104880842
Exp3,464,Counting Sort,0.019453189999330787,0.002549495933986336,0.1310579876140644
Exp3,464,Merge Sort,0.00043918000301346183,1.5506336555469695e-05,0.035307474040420714
Exp3,464,Sort,-9.527000365778804e-05,0.0001163574347350889,0.0
Exp3,497,Quick Sort,0.0002441299962811172,2.5819368261640754e-05,0.10576073671794757
Exp3,497,Quick Sort 3-Way,0.0006206499878317117,0.0003602512911606286,0.5804419531517178
Exp3,497,Counting Sort,0.01694710999727249,0.0021342621201662754,0.12593664173477184
Exp3,497,Merge Sort,0.0008026899886317551,0.00042421990378120877,0.5284978133392734
Exp3,497,Sort,-0.00023986001033335925,4.007681223563022e-05,0.0
Exp3,533,Quick Sort,0.0003119199885986745,6.647725442775612e-05,0.21312277782007655
Exp3,533,Quick Sort 3-Way,0.000483300001360476,5.996361035952651e-05,0.12407119840829842
Exp3,533,Counting Sort,0.016230020008515568,0.0009760305160986794,0.06013735753785736
Exp3,533,Merge Sort,0.0006235099979676306,0.0002475026925565631,0.3969506397063615
Exp3,533,Sort,-0.00012203998630866408,9.221007699861946e-05,0.0
Exp3,572,Quick Sort,0.0005612800363451242,4.0582603656872744e-05,0.07230366488915882
Exp3,572,Quick Sort 3-Way,0.001050159998703748,0.0004477526475966891,0.4263661233996411
Exp3,572,Counting Sort,0.018115730013232675,0.003364322200894032,0.18571275893582845
Exp3,572,Merge Sort,0.0009667600272223352,0.0003744380410045437,0.3873122910143145
Exp3,572,Sort,0.0002558400155976415,0.00010652586987362768,0.4163768893805903
Exp3,613,Quick Sort,0.0010578500106930733,0.0005172260836552019,0.4889408502405081
Exp3,613,Quick Sort 3-Way,0.001155950000975281,0.0004526261756495159,0.3915620703902702
Exp3,613,Counting Sort,0.019142590067349374,0.003994569475110369,0.20867445110908586
Exp3,613,Merge Sort,0.0008984400192275643,3.335387894134743e-05,0.03712421333371091
Exp3,613,Sort,0.00016936000902205705,0.0001272719375446065,0.7514875458469709
Exp3,657,Quick Sort,0.0003657900262624025,6.405808567849888e-05,0.17512255960895523
Exp3,657,Quick Sort 3-Way,0.0005500799976289273,6.142332936733462e-05,0.11166253932536108
Exp3,657,Counting Sort,0.020558880001772195,0.006680236349022723,0.3249319198539454
Exp3,657,Merge Sort,0.001307039987295866,0.0004759535614424015,0.3641461363604502
Exp3,657,Sort,-0.00026795999146997926,2.192501234028787e-05,0.0
Exp3,705,Quick Sort,0.0007476900238543749,5.234863001144827e-05,0.07001381366784698
Exp3,705,Quick Sort 3-Way,0.0009246699977666138,4.7016197281745775e-05,0.050846461327074044
Exp3,705,Counting Sort,0.021008360001724215,0.01130422732219496,0.5380823310942496
Exp3,705,Merge Sort,0.0015827700030058623,0.0007430713486324438,0.4694752536510458
Exp3,705,Sort,0.0001005300204269588,4.975949584323235e-05,0.4949715083305455
Exp3,756,Quick Sort,0.0007662099902518094,0.00012808258014728507,0.16716380858619664
Exp3,756,Quick Sort 3-Way,0.0015495299827307462,0.000961889039913846,0.6207618120552292
Exp3,756,Counting Sort,0.021505190001334995,0.0035788512979012675,0.16641802735428518
Exp3,756,Merge Sort,0.0011258099926635622,0.0005187377596810431,0.4607684805264142
Exp3,756,Sort,-0.00012648998526856303,6.055480033258145e-05,0.0
Exp3,811,Quick Sort,0.00100119998678565,0.0003109819877475823,0.3106092607391947
Exp3,811,Quick Sort 3-Way,0.0012387999799102543,0.0003272136532212011,0.2641375997155782
Exp3,811,Counting Sort,0.020093149971216914,0.004121898484738363,0.20513948736972104
Exp3,811,Merge Sort,0.0013670999906025827,0.0006655003880216518,0.48679715645986965
Exp3,811,Sort,8.951999479904767e-05,0.00016996064281344102,1.8985774428937867
Exp3,869,Quick Sort,0.0011540999985300004,0.00048192721188633063,0.41757838358909166
Exp3,869,Quick Sort 3-Way,0.0014154999982565642,0.000456473369636659,0.3224820700804562
