experiment,m,algorithm,mean_time,std_time,relative_error
Exp2,31,Merge Sort,0.03248508000397123,0.0004684163777805288,0.01441943125038528
Exp2,31,Sort,0.0008787799975834787,4.109511656639853e-05,0.0467638278970895
Exp2,35,Quick Sort,0.006118879999849015,0.0006801503674629209,0.11115602323949869
Exp2,35,Quick Sort 3-Way,0.0038810699945315726,0.0002942171172547431,0.07580824815561045
Exp2,35,Counting Sort,0.00062896000163164,0.00012435090211129586,0.19770876015757174
Exp2,35,Merge Sort,0.03241881999420002,0.0003280483317732078,0.010119070707443953
Exp2,35,Sort,0.0008719700039364397,9.990825081098111e-05,0.11457762349616753
Exp2,40,Quick Sort,0.006128499997430481,0.0005035599860680191,0.0821669227835765
Exp2,40,Quick Sort 3-Way,0.0042567699943901974,0.00036716905151243877,0.08625531846830205
Exp2,40,Counting Sort,0.0007669299870030954,9.53582178000716e-05,0.1243375789395059
Exp2,40,Merge Sort,0.032463779993122444,0.00037081048675800484,0.011422283136361885
Exp2,40,Sort,0.0011364200036041439,0.0001315680670746039,0.11577415626030622
Exp2,45,Quick Sort,0.006470220015035011,0.000455531472014356,0.07040432488475294
Exp2,45,Quick Sort 3-Way,0.0040753900102572516,0.00032040517139884125,0.0786195114068644
Exp2,45,Counting Sort,0.0007093200023518872,5.969274540109319e-05,0.08415488806627529
Exp2,45,Merge Sort,0.03227211000630632,0.00030879407087628925,0.009568449996481406
Exp2,45,Sort,0.0009882800048217175,0.0004143033517203824,0.419216567874528
Exp2,50,Quick Sort,0.006798749999143183,0.0003598927343649284,0.05293513284210835
Exp2,50,Quick Sort 3-Way,0.004306779999751598,0.00031857641435266605,0.07397090503137857
Exp2,50,Counting Sort,0.0006487299979198721,8.781192109717186e-05,0.13535973575869378
Exp2,50,Merge Sort,0.033546689993818296,0.0022299296198070064,0.06647241859682487
Exp2,50,Sort,0.0035714800033019856,0.0025814567669433333,0.7227974857920711
Exp2,57,Quick Sort,0.008957419998478145,0.003855545732187769,0.4304303842895411
Exp2,57,Quick Sort 3-Way,0.004888019993086345,0.0018923299970935697,0.3871363046325703
